Group,Method,E(R),Std(R),DD,Sharpe,Sortino,MDD,Calmar,%+Ret,AvgP/AvgL
commodity,Long,-0.4208,1.0000,0.6982,-0.4208,-0.6027,5.8773,-0.0716,0.5020,0.9254
commodity,Sign(R),0.3912,1.0000,0.6676,0.3912,0.5860,2.0737,0.1886,0.5196,0.9857
commodity,MACD,-0.2309,1.0000,0.6549,-0.2309,-0.3526,4.4369,-0.0520,0.5011,0.9580
commodity,DQN,-2.3459,1.0000,0.6727,-2.3459,-3.4875,21.0514,-0.1114,0.4401,0.8627
commodity,PG,-11.7002,1.0000,0.7645,-11.7002,-15.3043,99.6603,-0.1174,0.2059,0.5591
commodity,A2C,-0.7869,1.0000,0.8377,-0.7869,-0.9394,7.1925,-0.1094,0.4839,0.9139
equity_index,Long,0.5579,1.0000,0.8041,0.5579,0.6938,2.0034,0.2785,0.5466,0.9135
equity_index,Sign(R),0.1280,1.0000,0.8118,0.1280,0.1576,2.9034,0.0441,0.5233,0.9323
equity_index,MACD,-0.3463,1.0000,0.7845,-0.3463,-0.4414,4.5998,-0.0753,0.5073,0.9117
equity_index,DQN,-1.0033,1.0000,0.8745,-1.0033,-1.1473,9.4089,-0.1066,0.3933,1.0130
equity_index,PG,-11.7077,1.0000,0.7769,-11.7077,-15.0694,102.2830,-0.1145,0.1621,0.6759
equity_index,A2C,0.1601,1.0000,0.8082,0.1601,0.1981,3.5771,0.0448,0.4995,1.0356
fixed_income,Long,0.7746,1.0000,0.6576,0.7746,1.1779,1.7826,0.4345,0.5326,0.9960
fixed_income,Sign(R),0.5962,1.0000,0.7112,0.5962,0.8383,1.6686,0.3573,0.5399,0.9443
fixed_income,MACD,0.3430,1.0000,0.7112,0.3430,0.4823,1.8222,0.1882,0.5088,1.0262
fixed_income,DQN,-0.9326,1.0000,1.1734,-0.9326,-0.7948,8.8166,-0.1058,0.1423,1.0451
fixed_income,PG,-22.1571,1.0000,0.8778,-22.1571,-25.2429,193.3767,-0.1146,0.0595,0.3577
fixed_income,A2C,-1.1631,1.0000,0.6276,-1.1631,-1.8533,11.0460,-0.1053,0.4595,0.9723
fx,Long,-0.0574,1.0000,0.6473,-0.0574,-0.0887,3.0684,-0.0187,0.5028,0.9794
fx,Sign(R),0.0461,1.0000,0.7005,0.0461,0.0658,2.7290,0.0169,0.5041,0.9917
fx,MACD,-0.1025,1.0000,0.7303,-0.1025,-0.1404,3.1828,-0.0322,0.4959,0.9979
fx,DQN,-2.1958,1.0000,0.7003,-2.1958,-3.1355,19.3390,-0.1135,0.4065,0.9455
fx,PG,-15.1291,1.0000,0.7546,-15.1291,-20.0496,132.6235,-0.1141,0.1154,0.6105
fx,A2C,-0.2482,1.0000,0.7523,-0.2482,-0.3299,4.4065,-0.0563,0.4885,0.9975
All,Long,0.3010,1.0000,0.7305,0.3010,0.4120,2.7372,0.1100,0.5322,0.9239
All,Sign(R),0.3825,1.0000,0.7479,0.3825,0.5114,2.2557,0.1696,0.5301,0.9464
All,MACD,-0.2768,1.0000,0.7270,-0.2768,-0.3807,3.9151,-0.0707,0.4966,0.9661
All,DQN,-2.5094,1.0000,0.7513,-2.5094,-3.3400,22.1900,-0.1131,0.4199,0.8610
All,PG,-25.8903,1.0000,0.8750,-25.8903,-29.5898,226.9756,-0.1141,0.0398,0.3939
All,A2C,-0.7702,1.0000,0.7763,-0.7702,-0.9922,7.7069,-0.0999,0.4869,0.9184
