Group,Method,E(R),Std(R),DD,Sharpe,Sortino,MDD,Calmar,%+Ret,AvgP/AvgL
commodity,Long,-0.0291,0.0562,0.0393,-0.5184,-0.7410,0.3739,-0.0779,0.4980,0.9252
commodity,Sign(R),-0.0058,0.0419,0.0281,-0.1386,-0.2064,0.1259,-0.0461,0.5051,0.9578
commodity,MACD,-0.0224,0.0293,0.0193,-0.7648,-1.1589,0.2273,-0.0986,0.4843,0.9371
commodity,DQN,-0.0574,0.0407,0.0304,-1.4107,-1.8872,0.5091,-0.1128,0.4551,0.9347
commodity,PG,-0.0215,0.0053,0.0047,-4.0430,-4.5464,0.1837,-0.1170,0.1933,1.1750
commodity,A2C,0.0252,0.0523,0.0316,0.4817,0.7980,0.1185,0.2127,0.5082,1.0479
equity_index,Long,0.0834,0.1714,0.1380,0.4866,0.6048,0.3570,0.2337,0.5444,0.9103
equity_index,Sign(R),-0.0174,0.1495,0.1207,-0.1166,-0.1443,0.5645,-0.0309,0.5129,0.9299
equity_index,MACD,-0.0635,0.0921,0.0719,-0.6902,-0.8841,0.7065,-0.0899,0.4875,0.9269
equity_index,DQN,-0.1139,0.1120,0.0995,-1.0167,-1.1452,1.2113,-0.0940,0.4051,0.9954
equity_index,PG,-0.0819,0.0168,0.0150,-4.8862,-5.4492,0.7161,-0.1144,0.1412,1.1020
equity_index,A2C,0.0028,0.0160,0.0137,0.1783,0.2075,0.0361,0.0789,0.4959,1.0543
fixed_income,Long,0.0769,0.1528,0.1010,0.5035,0.7616,0.2909,0.2644,0.5231,0.9899
fixed_income,Sign(R),-0.0209,0.1369,0.0973,-0.1528,-0.2150,0.5651,-0.0370,0.5136,0.9226
fixed_income,MACD,-0.0776,0.0936,0.0652,-0.8287,-1.1898,0.9575,-0.0810,0.4498,1.0567
fixed_income,DQN,-0.1966,0.1137,0.0848,-1.7287,-2.3174,1.7094,-0.1150,0.4323,0.9179
fixed_income,PG,-2.3830,0.1062,0.0956,-22.4398,-24.9307,20.8031,-0.1146,0.0609,0.2890
fixed_income,A2C,0.0065,0.0140,0.0117,0.4664,0.5600,0.0352,0.1858,0.4864,1.1668
fx,Long,-0.0186,0.0729,0.0473,-0.2553,-0.3938,0.2863,-0.0650,0.4989,0.9620
fx,Sign(R),-0.0556,0.0841,0.0588,-0.6610,-0.9462,0.5941,-0.0936,0.4783,0.9731
fx,MACD,-0.0483,0.0602,0.0437,-0.8025,-1.1067,0.4735,-0.1020,0.4706,0.9738
fx,DQN,-0.0668,0.0660,0.0472,-1.0128,-1.4143,0.6515,-0.1026,0.4690,0.9409
fx,PG,-0.1141,0.0185,0.0150,-6.1815,-7.6268,1.0021,-0.1139,0.1200,1.0125
fx,A2C,-0.0027,0.0131,0.0097,-0.2082,-0.2803,0.0558,-0.0487,0.4844,1.0222
All,Long,0.0057,0.0586,0.0429,0.0972,0.1328,0.1816,0.0314,0.5262,0.9150
All,Sign(R),-0.0211,0.0492,0.0368,-0.4290,-0.5741,0.2253,-0.0937,0.5095,0.8949
All,MACD,-0.0422,0.0345,0.0251,-1.2243,-1.6838,0.4302,-0.0982,0.4747,0.8941
All,DQN,-0.0870,0.0402,0.0320,-2.1645,-2.7178,0.7725,-0.1127,0.4262,0.9013
All,PG,-0.2655,0.0130,0.0118,-20.3607,-22.4468,2.3279,-0.1140,0.0516,0.3898
All,A2C,0.0124,0.0247,0.0150,0.5011,0.8238,0.0554,0.2235,0.5158,1.0196
