Group,Method,E(R),Std(R),DD,Sharpe,Sortino,MDD,Calmar,%+Ret,AvgP/AvgL
commodity,Long,-0.0291,0.0562,0.0393,-0.5184,-0.7410,0.3739,-0.0779,0.4980,0.9252
commodity,Sign(R),-0.0058,0.0419,0.0281,-0.1386,-0.2064,0.1259,-0.0461,0.5051,0.9578
commodity,MACD,-0.0224,0.0293,0.0193,-0.7648,-1.1589,0.2273,-0.0986,0.4843,0.9371
commodity,DQN,-0.0556,0.0456,0.0301,-1.2193,-1.8451,0.4936,-0.1126,0.4662,0.9383
commodity,PG,-0.3102,0.0265,0.0203,-11.6893,-15.2502,2.6421,-0.1174,0.2017,0.5724
commodity,A2C,-0.0008,0.0018,0.0013,-0.4333,-0.5886,0.0070,-0.1110,0.4769,1.0086
equity_index,Long,0.0834,0.1714,0.1380,0.4866,0.6048,0.3570,0.2337,0.5444,0.9103
equity_index,Sign(R),-0.0174,0.1495,0.1207,-0.1166,-0.1443,0.5645,-0.0309,0.5129,0.9299
equity_index,MACD,-0.0635,0.0921,0.0719,-0.6902,-0.8841,0.7065,-0.0899,0.4875,0.9269
equity_index,DQN,-0.1063,0.1197,0.0974,-0.8877,-1.0913,0.9763,-0.1088,0.4614,0.9792
equity_index,PG,-0.6147,0.0527,0.0407,-11.6647,-15.1155,5.3702,-0.1145,0.1621,0.6818
equity_index,A2C,-0.0007,0.0066,0.0048,-0.1040,-0.1422,0.0277,-0.0247,0.4914,1.0160
fixed_income,Long,0.0769,0.1528,0.1010,0.5035,0.7616,0.2909,0.2644,0.5231,0.9899
fixed_income,Sign(R),-0.0209,0.1369,0.0973,-0.1528,-0.2150,0.5651,-0.0370,0.5136,0.9226
fixed_income,MACD,-0.0776,0.0936,0.0652,-0.8287,-1.1898,0.9575,-0.0810,0.4498,1.0567
fixed_income,DQN,-0.1503,0.0917,0.0739,-1.6390,-2.0334,1.3248,-0.1135,0.3250,0.9329
fixed_income,PG,-1.8854,0.0872,0.0778,-21.6332,-24.2291,16.4545,-0.1146,0.0573,0.3229
fixed_income,A2C,-0.0224,0.0208,0.0138,-1.0727,-1.6206,0.2076,-0.1077,0.4627,0.9624
fx,Long,-0.0186,0.0729,0.0473,-0.2553,-0.3938,0.2863,-0.0650,0.4989,0.9620
fx,Sign(R),-0.0556,0.0841,0.0588,-0.6610,-0.9462,0.5941,-0.0936,0.4783,0.9731
fx,MACD,-0.0483,0.0602,0.0437,-0.8025,-1.1067,0.4735,-0.1020,0.4706,0.9738
fx,DQN,-0.0406,0.0477,0.0366,-0.8525,-1.1090,0.3926,-0.1035,0.4183,1.0454
fx,PG,-0.7700,0.0494,0.0410,-15.5958,-18.7994,6.7484,-0.1141,0.1105,0.5214
fx,A2C,-0.0004,0.0015,0.0011,-0.2853,-0.3779,0.0071,-0.0603,0.4889,0.9879
All,Long,0.0057,0.0586,0.0429,0.0972,0.1328,0.1816,0.0314,0.5262,0.9150
All,Sign(R),-0.0211,0.0492,0.0368,-0.4290,-0.5741,0.2253,-0.0937,0.5095,0.8949
All,MACD,-0.0422,0.0345,0.0251,-1.2243,-1.6838,0.4302,-0.0982,0.4747,0.8941
All,DQN,-0.0735,0.0409,0.0312,-1.7958,-2.3542,0.6540,-0.1123,0.4498,0.8892
All,PG,-0.6085,0.0233,0.0205,-26.1528,-29.6221,5.3342,-0.1141,0.0335,0.4762
All,A2C,-0.0023,0.0030,0.0020,-0.7748,-1.1659,0.0210,-0.1105,0.4633,1.0166
