Group,Method,E(R),Std(R),DD,Sharpe,Sortino,MDD,Calmar,%+Ret,AvgP/AvgL
commodity,Long,-0.1941,0.3745,0.2620,-0.5184,-0.7410,2.4928,-0.0779,0.4980,0.9252
commodity,Sign(R),-0.0387,0.2793,0.1875,-0.1386,-0.2064,0.8396,-0.0461,0.5051,0.9578
commodity,MACD,-0.1494,0.1954,0.1289,-0.7648,-1.1589,1.5154,-0.0986,0.4843,0.9371
commodity,DQN,-0.3584,0.1528,0.1028,-2.3459,-3.4875,3.2160,-0.1114,0.4401,0.8627
commodity,PG,-1.3918,0.1916,0.1422,-7.2648,-9.7856,11.8987,-0.1170,0.2934,0.6992
commodity,A2C,-0.1919,0.2439,0.2043,-0.7869,-0.9394,1.7541,-0.1094,0.4839,0.9139
equity_index,Long,0.5562,1.1429,0.9197,0.4866,0.6048,2.3798,0.2337,0.5444,0.9103
equity_index,Sign(R),-0.1162,0.9964,0.8049,-0.1166,-0.1443,3.7630,-0.0309,0.5129,0.9299
equity_index,MACD,-0.4236,0.6137,0.4791,-0.6902,-0.8841,4.7100,-0.0899,0.4875,0.9269
equity_index,DQN,-0.6725,0.6703,0.5862,-1.0033,-1.1473,6.3068,-0.1066,0.3933,1.0130
equity_index,PG,-1.6202,0.1964,0.1706,-8.2485,-9.4956,14.1568,-0.1144,0.1916,0.7410
equity_index,A2C,0.0276,0.1726,0.1395,0.1601,0.1981,0.6174,0.0448,0.4995,1.0356
fixed_income,Long,0.5129,1.0188,0.6735,0.5035,0.7616,1.9396,0.2644,0.5231,0.9899
fixed_income,Sign(R),-0.1394,0.9126,0.6485,-0.1528,-0.2150,3.7674,-0.0370,0.5136,0.9226
fixed_income,MACD,-0.5171,0.6239,0.4346,-0.8287,-1.1898,6.3832,-0.0810,0.4498,1.0567
fixed_income,DQN,-0.3198,0.3429,0.4023,-0.9326,-0.7948,3.0232,-0.1058,0.1423,1.0451
fixed_income,PG,-0.4516,0.1193,0.2208,-3.7864,-2.0457,3.9429,-0.1145,0.0086,0.5749
fixed_income,A2C,-0.2007,0.1726,0.1083,-1.1631,-1.8533,1.9060,-0.1053,0.4595,0.9723
fx,Long,-0.1241,0.4861,0.3152,-0.2553,-0.3938,1.9084,-0.0650,0.4989,0.9620
fx,Sign(R),-0.3707,0.5607,0.3917,-0.6610,-0.9462,3.9607,-0.0936,0.4783,0.9731
fx,MACD,-0.3221,0.4013,0.2910,-0.8025,-1.1067,3.1569,-0.1020,0.4706,0.9738
fx,DQN,-0.6400,0.2915,0.2041,-2.1958,-3.1355,5.6366,-0.1135,0.4065,0.9455
fx,PG,-0.3607,0.0682,0.0813,-5.2887,-4.4377,3.1581,-0.1142,0.0593,0.9696
fx,A2C,-0.0706,0.2846,0.2141,-0.2482,-0.3299,1.2539,-0.0563,0.4885,0.9975
All,Long,0.0379,0.3905,0.2857,0.0972,0.1328,1.2104,0.0314,0.5262,0.9150
All,Sign(R),-0.1407,0.3281,0.2452,-0.4290,-0.5741,1.5019,-0.0937,0.5095,0.8949
All,MACD,-0.2817,0.2301,0.1673,-1.2243,-1.6838,2.8679,-0.0982,0.4747,0.8941
All,DQN,-0.4673,0.1862,0.1399,-2.5094,-3.3400,4.1326,-0.1131,0.4199,0.8610
All,PG,-1.1534,0.1080,0.0855,-10.6780,-13.4872,10.1142,-0.1140,0.2131,0.5760
All,A2C,-0.1276,0.1657,0.1287,-0.7702,-0.9922,1.2772,-0.0999,0.4869,0.9184
